,moves
0,1.0
1,3.0001999800019994
2,2.3333333155591105
3,3.25027497750125
4,5.000919959988802
5,4.333766545557004
6,5.572542765693721
7,6.376537378702139
8,5.778666358497213
9,5.800819645993837
10,5.3639449709556875
11,5.583857918114245
12,5.615907270844979
13,5.7148995986522
14,7.269413625610624
15,7.064768654136331
16,9.947919184936175
17,9.783867361689945
18,9.478905089072967
19,9.054153936024916
20,8.669855324972904
21,8.366043054262944
22,8.045075312136234
23,7.7508549269581755
24,7.8009407277257266
25,8.078520324443533
26,7.852804173954645
27,7.679021431552948
28,7.4826443485037375
29,7.566799750654403
30,7.516106066065154
31,7.374539860104641
32,9.551960328734502
33,9.29960123844624
34,9.520361418169017
35,9.756732195254306
36,9.817579551476921
37,10.403489700366713
38,10.264411592037503
39,10.358165946894264
40,10.177979753756444
41,9.958559375994641
42,9.796051879874422
43,9.73223164060314
44,9.58196735297911
45,9.394562158012166
46,9.279255522396316
47,9.147821974245241
48,9.165296963586458
49,9.141876653967628
50,9.454377350113116
51,9.445594690422134
52,9.380244870777918
53,9.224231302430233
54,9.147011663201134
55,9.03663884741793
56,9.018350179275599
57,9.035371819048269
58,9.10295935128791
59,8.967111777438008
60,8.868702248605047
61,8.822150078118522
62,8.761104154164663
63,8.796307726366198
64,8.753011728253123
65,8.833029349791092
66,8.730369342076784
67,8.61592417223942
68,8.825809623588968
69,8.71323927117099
70,8.618023281063554
71,8.525452223378283
72,9.028709204188502
73,9.109992737232476
74,9.39059212262663
75,9.385414116121504
76,9.28876894818312
77,9.194601909803161
78,9.179362127756868
79,9.126706357692228
80,9.087795452054396
81,9.025245301598009
82,8.952055172307045
83,9.036657514761718
84,8.953176067588286
85,8.859909084652339
86,8.780379596078086
87,8.75997150813603
88,8.853373122893343
89,8.97832993232863
90,8.9674820187601
91,8.891057345722524
92,8.827128162888554
93,9.043734928213569
94,8.958265740857112
95,8.874577214562413
96,8.81343137900343
97,8.732926720435293
98,8.654048470129077
99,8.576747835836885
100,8.54097922460663
101,8.48610545982267
102,8.481337693536572
103,8.544664866883313
104,8.52017708051309
105,8.524751401424027
106,8.463123842129551
107,8.533659004403008
108,8.473067563439555
109,8.670907536117593
110,8.70123043549642
111,8.640731513071035
112,8.572354383129138
113,8.567276791206071
114,8.500721487212498
115,8.444033932876772
116,8.483427202236399
117,8.41926353281901
118,8.373184089409692
119,8.353171312720571
120,8.484041696319114
121,8.488322235167855
122,8.42669590189427
123,8.3987200035298
124,8.371191742291082
125,8.360172688734398
126,8.405142594472863
127,8.354464302943784
128,8.296720191136764
129,8.341159872464882
130,8.338521600921087
131,8.297546205491445
132,8.310516295990722
133,8.255231489135651
134,8.275836731638655
135,8.229065184795513
136,8.308759081560197
137,8.321183093203125
138,8.282370551380392
139,8.345508762896607
140,8.781732184371752
141,8.790433056281062
142,8.756455643574013
143,8.715905961342738
144,8.682911948825295
145,8.62952265022589
146,8.576859787889012
147,8.723748713654635
148,8.67795181635857
149,8.625999109277524
150,8.574734568775602
151,8.657720134501961
152,8.620176725362942
153,8.70839458885487
154,8.664444780814131
155,8.640588822666807
156,8.617036786564334
157,8.568066951346673
158,8.558048274937896
159,8.510055512834468
160,8.462658984656558
161,8.466029586296553
162,8.643935441932165
163,8.633747188496518
164,8.611361380183535
165,8.583121277489333
166,8.561307372232003
167,8.515543877758812
168,8.500407570257268
169,8.45553779734237
170,8.411192867339741
171,8.396933252732362
172,8.353436878476057
173,8.310440512122803
174,8.267935582108478
175,8.23169552825452
176,8.190115286115153
177,8.154720275181148
178,8.142467221119691
179,8.119039166752332
180,8.163368725241169
181,8.296723774606575
182,8.278379074970893
183,8.238094466934468
184,8.225772724177702
185,8.197154269273723
186,8.185184915346312
187,8.157085238997468
188,8.123891862480175
189,8.139317134489502
190,8.261294767706463
191,8.222748675418222
192,8.184602073317562
193,8.146848783721094
194,8.166994299710119
195,8.129710421252254
196,8.103157649657229
197,8.0717224825159
198,8.178985478415914
199,8.152571893566805
200,8.126421165317247
201,8.1005293898563
202,8.069866468000638
203,8.03950420410686
204,8.014416422472433
205,7.9796631454368
206,7.945245696111493
207,7.9553301933792815
208,7.926239078054135
209,7.892562952684282
210,7.864045624726921
211,7.8309801719420475
212,7.798225239175271
213,7.808734581116396
214,7.86666008874241
215,7.838911569666149
216,7.8208359114416295
217,7.863862359647581
218,7.831832398107624
219,7.809385090703011
220,7.791766109859296
221,7.889425231463224
222,7.857840112631641
223,7.831101616097897
224,7.800056104826372
225,7.810011003722009
226,7.7793279386391
227,7.807235529067359
228,7.7812939186382115
229,7.773370477842733
230,7.743369044075572
231,7.718036956093803
232,7.6885301769719625
233,7.7248831890131475
234,7.726081503411124
235,7.7012438754438195
236,7.6809356436009795
237,7.660798100978373
238,7.632260188074438
239,7.66796558323389
240,7.643878170358402
241,7.797759260595049
242,7.76910259530088
243,7.820457001770852
244,7.800297749596657
245,7.771971558554668
246,7.760470700499316
247,7.744929948785314
248,7.725397575429491
249,7.710121906336422
250,7.686799017393361
251,7.679935977153335
252,7.652862216495143
253,7.626001680348551
254,7.6073958726861415
255,7.588935454271197
256,7.566627230033439
257,7.5842561873609355
258,7.562134375015884
259,7.544129384018522
260,7.553785583013977
261,7.54378172733332
262,7.518242933651566
263,7.492897660107338
264,7.471617786547653
265,7.4697973942496585
266,7.467990641052214
267,7.443206314850342
268,7.422424279465118
269,7.3979920089811815
270,7.373740094099173
271,7.349666545602799
272,7.329532930531349
273,7.305796149368928
274,7.375654452628764
275,7.351913263468616
276,7.432241744435806
277,7.4454341335186545
278,7.42905368360122
279,7.409118282643115
280,7.3856655282092545
281,7.391552464276928
282,7.36832467668451
283,7.3488822096068915
284,7.369279076004492
285,7.396727442307245
286,7.377380668147639
287,7.383177986382859
288,7.360448736564508
289,7.4017560772049515
290,7.3791128598884255
291,7.356624776717203
292,7.351858161112431
293,7.329614080116844
294,7.328463577145454
295,7.306446808605716
296,7.322722344364521
297,7.3146942211902735
298,7.292939319573816
299,7.2953673515968225
300,7.2806646959866494
301,7.272883265287085
302,7.2719551921141
303,7.250692399971552
304,7.229569078772978
305,7.208583861156079
306,7.187735397574349
307,7.167022356007864
308,7.15311728570682
309,7.135975457102894
310,7.11562777164145
311,7.125163008300207
312,7.104976971931105
313,7.098061235866207
314,7.081363477457291
315,7.064771435897673
316,7.051539405722994
317,7.048126761513355
318,7.044735520379696
319,7.028462546347983
320,7.060531040041048
321,7.047511627415861
322,7.034572858116505
323,7.0153396439112825
324,6.996224829224222
325,6.977227324489101
326,6.958346053467721
327,6.942729501638341
328,6.936628775305333
329,6.918040717788454
330,6.899565015454017
331,6.88742631963548
332,6.869152970911589
333,6.850989083750373
334,6.854534784848714
335,6.836520425279931
336,6.821681181237962
337,6.80387038618619
338,6.786164709457121
339,6.768563223536037
340,6.754098386143228
341,6.742742974957259
342,6.725421235207137
343,6.708200242614013
344,6.691079121115545
345,6.674057004777279
346,6.680994577446284
347,6.6789690166384785
348,6.6710226964566495
349,6.657205795364317
